country code;postal code;place name;admin name1;admin code1;admin name2;admin code2;admin name3;admin code3;latitude;longitude;accuracy;coordinates
US;27349;Snow Camp;North Carolina;NC;Alamance;001;;;35.9066;-79.4279;4;35.9066,-79.4279
US;28678;Stony Point;North Carolina;NC;Alexander;003;;;35.8661;-81.0641;4;35.8661,-81.0641
US;28675;Sparta;North Carolina;NC;Alleghany;005;;;36.5089;-81.1384;4;36.5089,-81.1384
US;28626;Fleetwood;North Carolina;NC;Ashe;009;;;36.2814;-81.514;4;36.2814,-81.514
US;28640;Jefferson;North Carolina;NC;Ashe;009;;;36.409;-81.4396;4;36.409,-81.4396
US;28644;Laurel Springs;North Carolina;NC;Ashe;009;;;36.4449;-81.2606;4;36.4449,-81.2606
US;27821;Edward;North Carolina;NC;Beaufort;013;;;35.3236;-76.8794;4;35.3236,-76.8794
US;27872;Roxobel;North Carolina;NC;Bertie;015;;;36.195;-77.2602;4;36.195,-77.2602
US;27957;Merry Hill;North Carolina;NC;Bertie;015;;;36.0871;-76.7776;4;36.0871,-76.7776
US;28399;White Oak;North Carolina;NC;Bladen;017;;;34.7662;-78.7301;4;34.7662,-78.7301
US;28422;Bolivia;North Carolina;NC;Brunswick;019;;;34.026;-78.1681;4;34.026,-78.1681
US;28451;Leland;North Carolina;NC;Brunswick;019;;;34.268;-78.0578;4;34.268,-78.0578
US;28748;Leicester;North Carolina;NC;Buncombe;021;;;35.6498;-82.7106;4;35.6498,-82.7106
US;28802;Asheville;North Carolina;NC;Buncombe;021;;;35.6237;-82.6671;4;35.6237,-82.6671
US;28806;Asheville;North Carolina;NC;Buncombe;021;;;35.5808;-82.6078;4;35.5808,-82.6078
US;28619;Drexel;North Carolina;NC;Burke;023;;;35.7579;-81.6043;4;35.7579,-81.6043
US;28107;Midland;North Carolina;NC;Cabarrus;025;;;35.2477;-80.5319;4;35.2477,-80.5319
US;27974;Shiloh;North Carolina;NC;Camden;029;;;36.2584;-76.0432;4;36.2584,-76.0432
US;28577;Sealevel;North Carolina;NC;Carteret;031;;;34.8769;-76.3898;4;34.8769,-76.3898
US;27311;Pelham;North Carolina;NC;Caswell;033;;;36.4899;-79.4736;4;36.4899,-79.4736
US;27344;Siler City;North Carolina;NC;Chatham;037;;;35.7354;-79.4566;4;35.7354,-79.4566
US;28090;Lawndale;North Carolina;NC;Cleveland;045;;;35.4449;-81.5336;4;35.4449,-81.5336
US;28463;Tabor City;North Carolina;NC;Columbus;047;;;34.1233;-78.8232;4;34.1233,-78.8232
US;28564;New Bern;North Carolina;NC;Craven;049;;;35.1109;-77.0634;4;35.1109,-77.0634
US;28303;Fayetteville;North Carolina;NC;Cumberland;051;;;35.0742;-78.965;4;35.0742,-78.965
US;28331;Cumberland;North Carolina;NC;Cumberland;051;;;35.0049;-78.9673;4;35.0049,-78.9673
US;28356;Linden;North Carolina;NC;Cumberland;051;;;35.2276;-78.8004;4;35.2276,-78.8004
US;27923;Coinjock;North Carolina;NC;Currituck;053;;;36.3751;-75.934;4;36.3751,-75.934
US;27941;Harbinger;North Carolina;NC;Currituck;053;;;36.1025;-75.8169;4;36.1025,-75.8169
US;27956;Maple;North Carolina;NC;Currituck;053;;;36.3987;-76.0039;4;36.3987,-76.0039
US;27704;Durham;North Carolina;NC;Durham;063;;;36.0383;-78.8764;4;36.0383,-78.8764
US;27710;Durham;North Carolina;NC;Durham;063;;;36.0512;-78.8577;4;36.0512,-78.8577
US;27711;Durham;North Carolina;NC;Durham;063;;;36.0512;-78.8577;4;36.0512,-78.8577
US;27809;Battleboro;North Carolina;NC;Edgecombe;065;;;36.0067;-77.7074;4;36.0067,-77.7074
US;27009;Belews Creek;North Carolina;NC;Forsyth;067;;;36.2269;-80.093;4;36.2269,-80.093
US;27114;Winston-Salem;North Carolina;NC;Forsyth;067;;;36.0999;-80.2442;4;36.0999,-80.2442
US;28016;Bessemer City;North Carolina;NC;Gaston;071;;;35.2849;-81.2863;4;35.2849,-81.2863
US;27926;Corapeake;North Carolina;NC;Gates;073;;;36.5179;-76.5979;4;36.5179,-76.5979
US;27509;Butner;North Carolina;NC;Granville;077;;;36.1359;-78.7636;4;36.1359,-78.7636
US;27527;Clayton;North Carolina;NC;Granville;077;;;35.6577;-78.3837;4;35.6577,-78.3837
US;27582;Stovall;North Carolina;NC;Granville;077;;;36.4482;-78.5703;4;36.4482,-78.5703
US;27265;High Point;North Carolina;NC;Guilford;081;;;36.0036;-80.0036;4;36.0036,-80.0036
US;27357;Stokesdale;North Carolina;NC;Guilford;081;;;36.2552;-79.9705;4;36.2552,-79.9705
US;27407;Greensboro;North Carolina;NC;Guilford;081;;;36.0334;-79.8626;4;36.0334,-79.8626
US;27874;Scotland Neck;North Carolina;NC;Halifax;083;;;36.1301;-77.4273;4;36.1301,-77.4273
US;27890;Weldon;North Carolina;NC;Halifax;083;;;36.4206;-77.6035;4;36.4206,-77.6035
US;28339;Erwin;North Carolina;NC;Harnett;085;;;35.3287;-78.6859;4;35.3287,-78.6859
US;28710;Bat Cave;North Carolina;NC;Henderson;089;;;35.4515;-82.2871;4;35.4515,-82.2871
US;28739;Hendersonville;North Carolina;NC;Henderson;089;;;35.3192;-82.5;4;35.3192,-82.5
