,Zip,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,27704,36.0383,-78.8764,Motorco Music Hall,36.00359855775661,-78.90032530449736,Concert Hall
1,27704,36.0383,-78.8764,Surf Club,36.00216624910721,-78.90025975291769,Bar
2,27704,36.0383,-78.8764,The Bar Durham,36.00241498009025,-78.90025889102196,Gay Bar
3,27704,36.0383,-78.8764,The Party Store,36.04858055175881,-78.90501116277851,Arts & Crafts Store
4,27710,36.0512,-78.8577,The Party Store,36.04858055175881,-78.90501116277851,Arts & Crafts Store
5,27711,36.0512,-78.8577,The Party Store,36.04858055175881,-78.90501116277851,Arts & Crafts Store
6,27529,35.6813,-78.5975,Buffalo Wild Wings,35.69448462265168,-78.58338654041296,Wings Joint
7,27529,35.6813,-78.5975,Aversboro Restaurant & Sports Bar,35.69459947803943,-78.61611954437886,Sports Bar
8,27529,35.6813,-78.5975,TGI Fridays,35.688768564508514,-78.57861958824742,Restaurant
9,27529,35.6813,-78.5975,Buffalo Brothers,35.68783358181521,-78.58060063547839,American Restaurant
10,27615,35.8887,-78.6393,Kai Sushi & Sake Bar,35.885500094234565,-78.66056494273411,Japanese Restaurant
11,27615,35.8887,-78.6393,Pipers Tavern,35.8947378552215,-78.61997952849013,Pub
12,27615,35.8887,-78.6393,Hibernian Pub,35.89382449407287,-78.62444374114108,Pub
13,27615,35.8887,-78.6393,Sawmill Tap Room,35.88500212926883,-78.66029413049617,Bar
14,27615,35.8887,-78.6393,Red Hot & Blue BBQ,35.8733834110113,-78.62388804555275,BBQ Joint
15,27615,35.8887,-78.6393,Rudino's Pizza & Grinders,35.90251582264852,-78.6575902795183,Pizza Place
16,27615,35.8887,-78.6393,Village Grill,35.894783721073615,-78.62175114076226,American Restaurant
17,27615,35.8887,-78.6393,Chow Pizza Bar,35.90003650239023,-78.68213802643864,Pizza Place
18,27615,35.8887,-78.6393,Hero's Pub & Sandwich Shop,35.88166487575982,-78.6451573284891,Sandwich Place
19,27615,35.8887,-78.6393,Big Jilms Bar And Grill,35.88731,-78.600033,Speakeasy
20,27617,35.9034,-78.7447,Wild Turkey Bar & Lounge,35.89918978338289,-78.76362759600265,Cocktail Bar
21,27617,35.9034,-78.7447,Lynnwood Grill,35.87060397660752,-78.71742006953166,American Restaurant
22,27617,35.9034,-78.7447,Carolina Ale House,35.914442922587156,-78.78265481526178,Sports Bar
23,27617,35.9034,-78.7447,Bar Louie,35.90726208315718,-78.78481239080429,Cocktail Bar
24,27617,35.9034,-78.7447,TràLi Irish Pub & Restaurant,35.90037026485244,-78.79211708353618,Irish Pub
25,27617,35.9034,-78.7447,The Luxury Box,35.884584525353226,-78.73774983210697,Sports Bar
26,27617,35.9034,-78.7447,Applebee's Grill + Bar,35.9031456,-78.7873319,American Restaurant
27,27617,35.9034,-78.7447,Wild Wing Cafe,35.914072,-78.781381,Wings Joint
28,27636,35.7977,-78.6253,William & Company,35.788803660763456,-78.63432860890136,Cocktail Bar
29,27636,35.7977,-78.6253,Person Street Bar,35.790407353851485,-78.63465070510776,Bar
30,27636,35.7977,-78.6253,The Station at Person Street,35.78919672653639,-78.63444560256524,Bar
31,27636,35.7977,-78.6253,Gallo Pelón,35.77931957146792,-78.63851692796818,Cocktail Bar
32,27636,35.7977,-78.6253,Sullivan's Steakhouse,35.785815,-78.64713,Steakhouse
33,27636,35.7977,-78.6253,My Way Tavern,35.78727965220433,-78.65067134711106,American Restaurant
34,27636,35.7977,-78.6253,42nd St Oyster Bar,35.78286428488607,-78.64616477256813,Seafood Restaurant
35,27636,35.7977,-78.6253,Flying Saucer Draught Emporium,35.77997438908637,-78.64490578975123,Beer Garden
36,27636,35.7977,-78.6253,Trophy Tap & Table,35.77741730595741,-78.63818405525227,American Restaurant
37,27636,35.7977,-78.6253,Bittersweet,35.77688144129554,-78.63872386687156,Cocktail Bar
38,27636,35.7977,-78.6253,Foundation,35.777751232806416,-78.63916995885789,Cocktail Bar
39,27636,35.7977,-78.6253,Havana Deluxe,35.78612707159079,-78.64766198071585,Bar
40,27636,35.7977,-78.6253,Clouds Brewing,35.78254621781403,-78.64569516179961,Brewery
41,27636,35.7977,-78.6253,Raleigh Beer Garden,35.788179,-78.646929,Beer Garden
42,27636,35.7977,-78.6253,Watts & Ward,35.77799891485004,-78.63679065366621,Speakeasy
43,27636,35.7977,-78.6253,The Raleigh Times Bar,35.77819525450138,-78.63842198656201,Gastropub
44,27636,35.7977,-78.6253,Gringo A Go Go,35.78128715,-78.6344786,Mexican Restaurant
45,27636,35.7977,-78.6253,Whiskey Kitchen,35.77686125478077,-78.64211082458496,Southern / Soul Food Restaurant
46,27636,35.7977,-78.6253,The Green Light,35.7781639289765,-78.63790556696199,Lounge
47,27636,35.7977,-78.6253,C. Grace,35.78545961207401,-78.64749263146885,Cocktail Bar
48,27636,35.7977,-78.6253,Clockwork,35.784889750866775,-78.64704303375281,Bar
49,27636,35.7977,-78.6253,The Outpost,35.77792211126211,-78.63457561348089,Tiki Bar
50,27636,35.7977,-78.6253,The Haymaker,35.77367760967885,-78.63925067129556,Cocktail Bar
51,27636,35.7977,-78.6253,Dram and Draught,35.780261,-78.647825,Whisky Bar
52,27636,35.7977,-78.6253,Fox Liquor Bar,35.77699045079059,-78.63825424797324,Cocktail Bar
53,27636,35.7977,-78.6253,Cornerstone Tavern,35.787496895810385,-78.64733393346263,Bar
54,27636,35.7977,-78.6253,Heirloom,35.77768,-78.645618,Coffee Shop
55,27636,35.7977,-78.6253,Boxcar Bar + Arcade,35.77596036,-78.64502219,Bar
56,27636,35.7977,-78.6253,The Point at Glenwood,35.80340816969627,-78.64574030759628,American Restaurant
57,27636,35.7977,-78.6253,cave 1912,35.807517,-78.630502,Wine Bar
58,27636,35.7977,-78.6253,Drink Drank Drunk,35.78131243148807,-78.6559066478136,Beer Store
59,27636,35.7977,-78.6253,Cantina 18,35.79003941473052,-78.66126629241084,Mexican Restaurant
60,27636,35.7977,-78.6253,Kings,35.776929348869245,-78.6397994738686,Music Venue
61,27636,35.7977,-78.6253,The Pour House Music Hall,35.777169134300486,-78.63681234972837,Music Venue
62,27636,35.7977,-78.6253,The Junction Salon & Bar,35.774979850382074,-78.6447779415369,Nail Salon
63,27636,35.7977,-78.6253,Carolina Ale House,35.7863981057661,-78.64726462054941,American Restaurant
64,27636,35.7977,-78.6253,Village Draft House,35.789895130586224,-78.66077341952163,Bar
65,27636,35.7977,-78.6253,The Bison,35.80766101502069,-78.62525301029795,Dive Bar
66,27636,35.7977,-78.6253,Woody's at City Market,35.77633204458944,-78.63639578640036,Sports Bar
67,27636,35.7977,-78.6253,10th & Terrace,35.772405880483966,-78.64073077750251,Bar
68,27636,35.7977,-78.6253,The Architect Bar & Social House,35.778108610242164,-78.63791356282759,Bar
69,27636,35.7977,-78.6253,Raleigh Hilton Midtown Executive Lounge,35.83009577894079,-78.62044458527339,Hotel Bar
70,27636,35.7977,-78.6253,The Dogwood Bar & Eatery,35.7878181841184,-78.64704905861946,Bar
71,27636,35.7977,-78.6253,Buffalo Brothers Pizza & Wing Company,35.82265989203,-78.5897767264125,Wings Joint
72,27636,35.7977,-78.6253,Tobacco Road Sports Cafe & Brewery,35.78269766221425,-78.64663279807048,Sports Bar
73,27636,35.7977,-78.6253,The Players' Retreat,35.78613950199673,-78.66145223379135,Sports Bar
74,27636,35.7977,-78.6253,London Bridge Pub,35.778168186854316,-78.63784168533577,Bar
75,27636,35.7977,-78.6253,The Big Easy Raleigh,35.77753033305224,-78.63919629546913,Cajun / Creole Restaurant
76,27636,35.7977,-78.6253,Flex Nightclub & Bar,35.78047147491918,-78.64611541444164,Gay Bar
77,27636,35.7977,-78.6253,Yard House,35.83728258836197,-78.63994099753269,American Restaurant
78,27636,35.7977,-78.6253,Mitch's Tavern,35.787885630548764,-78.6678060905614,Pub
79,27636,35.7977,-78.6253,Empress Room,35.785395969924906,-78.64749960132077,Cocktail Bar
80,27636,35.7977,-78.6253,Landmark Tavern,35.77830043775077,-78.63756842213456,Bar
81,27636,35.7977,-78.6253,Kings Dining & Entertainment - Raleigh,35.837536989544446,-78.63988780718414,Bowling Alley
82,27636,35.7977,-78.6253,Jimmy V's Osteria + Bar,35.77497662854752,-78.63965482504632,Italian Restaurant
83,27636,35.7977,-78.6253,Black Flower,35.78854146330726,-78.64665500719133,Bar
84,27636,35.7977,-78.6253,Brooklyn Heights,35.78768808625338,-78.64741616885311,Bar
85,27636,35.7977,-78.6253,World of Beer,35.836902001511895,-78.6395299473235,Bar
86,27636,35.7977,-78.6253,Neptunes Parlour,35.77693377515693,-78.63983610183021,Bar
87,27636,35.7977,-78.6253,Mia Francesca Trattoria,35.8362182367447,-78.64395114306092,Italian Restaurant
88,27636,35.7977,-78.6253,Fox & Hound,35.837031,-78.642216,Bar
89,27636,35.7977,-78.6253,Nara Lounge,35.787894538269676,-78.6680870055986,Hookah Bar
90,27636,35.7977,-78.6253,Southern Charred BBQ Bar,35.78722764051708,-78.64722062087863,BBQ Joint
91,27636,35.7977,-78.6253,High Park Bar & Grill,35.80719998706197,-78.63062454135692,Bar
92,27636,35.7977,-78.6253,Star Bar Soul Fusion Cafe & Lounge,35.800661,-78.57839,Southern / Soul Food Restaurant
93,27636,35.7977,-78.6253,East Village Grill & Bar,35.789648643037786,-78.67607779059617,Bar
94,27636,35.7977,-78.6253,Milk Bar,35.7863045688277,-78.64712144163705,Bar
95,27636,35.7977,-78.6253,The Anchor Bar,35.778069972227584,-78.63912973149468,Bar
96,27636,35.7977,-78.6253,TGI Fridays,35.8391231307109,-78.61290358387578,American Restaurant
97,27636,35.7977,-78.6253,Parliament,35.784558000000004,-78.64708900000001,Bar
98,27636,35.7977,-78.6253,The Vintage Bar & Lounge,35.782294746967644,-78.64568327809693,Cocktail Bar
99,27636,35.7977,-78.6253,The Wicked Witch,35.772546999999996,-78.646124,Music Venue
100,27636,35.7977,-78.6253,Goodnight's Old Restaurant & Bar,35.78079597016527,-78.65609109150711,Bar
101,27636,35.7977,-78.6253,Stir Craft Cocktails • Artisanal Ice,35.837643,-78.640634,Cocktail Bar
102,27636,35.7977,-78.6253,Uninhibited Tapas Bar,35.8098487,-78.676632,Tapas Restaurant
103,27690,35.7977,-78.6253,William & Company,35.788803660763456,-78.63432860890136,Cocktail Bar
104,27690,35.7977,-78.6253,Person Street Bar,35.790407353851485,-78.63465070510776,Bar
105,27690,35.7977,-78.6253,The Station at Person Street,35.78919672653639,-78.63444560256524,Bar
106,27690,35.7977,-78.6253,Gallo Pelón,35.77931957146792,-78.63851692796818,Cocktail Bar
107,27690,35.7977,-78.6253,Sullivan's Steakhouse,35.785815,-78.64713,Steakhouse
108,27690,35.7977,-78.6253,My Way Tavern,35.78727965220433,-78.65067134711106,American Restaurant
109,27690,35.7977,-78.6253,42nd St Oyster Bar,35.78286428488607,-78.64616477256813,Seafood Restaurant
110,27690,35.7977,-78.6253,Flying Saucer Draught Emporium,35.77997438908637,-78.64490578975123,Beer Garden
111,27690,35.7977,-78.6253,Trophy Tap & Table,35.77741730595741,-78.63818405525227,American Restaurant
112,27690,35.7977,-78.6253,Bittersweet,35.77688144129554,-78.63872386687156,Cocktail Bar
113,27690,35.7977,-78.6253,Foundation,35.777751232806416,-78.63916995885789,Cocktail Bar
114,27690,35.7977,-78.6253,Havana Deluxe,35.78612707159079,-78.64766198071585,Bar
115,27690,35.7977,-78.6253,Clouds Brewing,35.78254621781403,-78.64569516179961,Brewery
116,27690,35.7977,-78.6253,Raleigh Beer Garden,35.788179,-78.646929,Beer Garden
117,27690,35.7977,-78.6253,Watts & Ward,35.77799891485004,-78.63679065366621,Speakeasy
118,27690,35.7977,-78.6253,The Raleigh Times Bar,35.77819525450138,-78.63842198656201,Gastropub
119,27690,35.7977,-78.6253,Gringo A Go Go,35.78128715,-78.6344786,Mexican Restaurant
120,27690,35.7977,-78.6253,Whiskey Kitchen,35.77686125478077,-78.64211082458496,Southern / Soul Food Restaurant
121,27690,35.7977,-78.6253,The Green Light,35.7781639289765,-78.63790556696199,Lounge
122,27690,35.7977,-78.6253,C. Grace,35.78545961207401,-78.64749263146885,Cocktail Bar
123,27690,35.7977,-78.6253,Clockwork,35.784889750866775,-78.64704303375281,Bar
124,27690,35.7977,-78.6253,The Outpost,35.77792211126211,-78.63457561348089,Tiki Bar
125,27690,35.7977,-78.6253,The Haymaker,35.77367760967885,-78.63925067129556,Cocktail Bar
126,27690,35.7977,-78.6253,Dram and Draught,35.780261,-78.647825,Whisky Bar
127,27690,35.7977,-78.6253,Fox Liquor Bar,35.77699045079059,-78.63825424797324,Cocktail Bar
128,27690,35.7977,-78.6253,Cornerstone Tavern,35.787496895810385,-78.64733393346263,Bar
129,27690,35.7977,-78.6253,Heirloom,35.77768,-78.645618,Coffee Shop
130,27690,35.7977,-78.6253,Boxcar Bar + Arcade,35.77596036,-78.64502219,Bar
131,27690,35.7977,-78.6253,The Point at Glenwood,35.80340816969627,-78.64574030759628,American Restaurant
132,27690,35.7977,-78.6253,cave 1912,35.807517,-78.630502,Wine Bar
133,27690,35.7977,-78.6253,Drink Drank Drunk,35.78131243148807,-78.6559066478136,Beer Store
134,27690,35.7977,-78.6253,Cantina 18,35.79003941473052,-78.66126629241084,Mexican Restaurant
135,27690,35.7977,-78.6253,Kings,35.776929348869245,-78.6397994738686,Music Venue
136,27690,35.7977,-78.6253,The Pour House Music Hall,35.777169134300486,-78.63681234972837,Music Venue
137,27690,35.7977,-78.6253,The Junction Salon & Bar,35.774979850382074,-78.6447779415369,Nail Salon
138,27690,35.7977,-78.6253,Carolina Ale House,35.7863981057661,-78.64726462054941,American Restaurant
139,27690,35.7977,-78.6253,Village Draft House,35.789895130586224,-78.66077341952163,Bar
140,27690,35.7977,-78.6253,The Bison,35.80766101502069,-78.62525301029795,Dive Bar
141,27690,35.7977,-78.6253,Woody's at City Market,35.77633204458944,-78.63639578640036,Sports Bar
142,27690,35.7977,-78.6253,10th & Terrace,35.772405880483966,-78.64073077750251,Bar
143,27690,35.7977,-78.6253,The Architect Bar & Social House,35.778108610242164,-78.63791356282759,Bar
144,27690,35.7977,-78.6253,Raleigh Hilton Midtown Executive Lounge,35.83009577894079,-78.62044458527339,Hotel Bar
145,27690,35.7977,-78.6253,The Dogwood Bar & Eatery,35.7878181841184,-78.64704905861946,Bar
146,27690,35.7977,-78.6253,Buffalo Brothers Pizza & Wing Company,35.82265989203,-78.5897767264125,Wings Joint
147,27690,35.7977,-78.6253,Tobacco Road Sports Cafe & Brewery,35.78269766221425,-78.64663279807048,Sports Bar
148,27690,35.7977,-78.6253,The Players' Retreat,35.78613950199673,-78.66145223379135,Sports Bar
149,27690,35.7977,-78.6253,London Bridge Pub,35.778168186854316,-78.63784168533577,Bar
