,Zip,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,27529,35.6813,-78.5975,Outback Steakhouse,35.71321179911769,-78.62898983253775,Steakhouse
1,27636,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
2,27690,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
3,27699,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
4,27627,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
5,27668,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
6,27545,35.7789,-78.4898,Lassiter Distilling Company,35.789943,-78.47932,Distillery
7,27650,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
8,27656,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
9,27675,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
10,27697,35.7721,-78.6386,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
11,27510,35.9055,-79.0901,Topo Distillery,35.909528156322764,-79.06346227084735,Distillery
12,27516,35.9162,-79.0999,Topo Distillery,35.909528156322764,-79.06346227084735,Distillery
13,27601,35.7727,-78.6324,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
14,27621,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
15,27626,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
16,27603,35.7076,-78.6563,Outback Steakhouse,35.71321179911769,-78.62898983253775,Steakhouse
17,27628,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
18,27629,35.8175,-78.5524,Raleigh Rum Company,35.794091537561116,-78.56882160585732,Distillery
19,27706,35.997,-78.9422,The Brothers Vilgalys,35.98862471558724,-78.89472765661185,Distillery
20,27514,35.9203,-79.0372,Topo Distillery,35.909528156322764,-79.06346227084735,Distillery
21,27604,35.8334,-78.5799,Raleigh Rum Company,35.794091537561116,-78.56882160585732,Distillery
22,27604,35.8334,-78.5799,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
23,27608,35.8077,-78.6463,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
24,27609,35.848,-78.6317,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
25,27625,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
26,27661,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
27,27698,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
28,27605,35.7908,-78.653,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
29,27624,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
30,27635,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
31,27676,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
32,27515,35.9132,-79.0558,Topo Distillery,35.909528156322764,-79.06346227084735,Distillery
33,27610,35.7667,-78.6008,Raleigh Rum Company,35.794091537561116,-78.56882160585732,Distillery
34,27622,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
35,27623,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
36,27640,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
37,27701,35.9967,-78.8966,The Brothers Vilgalys,35.98862471558724,-78.89472765661185,Distillery
38,27611,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
39,27620,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
40,27634,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
41,27658,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
42,27703,35.9781,-78.8439,The Brothers Vilgalys,35.98862471558724,-78.89472765661185,Distillery
43,27703,35.9781,-78.8439,Mystic Bourbon Liqueur,35.99886,-78.80373,Distillery
44,27707,35.9631,-78.9315,The Brothers Vilgalys,35.98862471558724,-78.89472765661185,Distillery
45,27722,35.994,-78.8986,The Brothers Vilgalys,35.98862471558724,-78.89472765661185,Distillery
46,27695,35.7977,-78.6253,Pinetop Distillery,35.8087158203125,-78.62124633789062,Distillery
