,Zip,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,27704,36.0383,-78.8764,Motorco Music Hall,36.00359855775661,-78.90032530449736,Concert Hall
1,27704,36.0383,-78.8764,Motorco Park,36.00316676528926,-78.90020877920233,Music Venue
2,27529,35.6813,-78.5975,Graves Music,35.69812752561129,-78.60326059298787,Music Venue
3,27529,35.6813,-78.5975,Stage One Productions,35.701359,-78.623475,Music Venue
4,27529,35.6813,-78.5975,Tri-tone Recording Studio,35.704894199384896,-78.63201909121553,Music Venue
5,27615,35.8887,-78.6393,North Raleigh Arts and Creative Theatre (NRACT),35.886555914946584,-78.6602515231047,Theater
6,27617,35.9034,-78.7447,Arthur Murray Dance Studios,35.908581,-78.778118,Music Venue
7,27617,35.9034,-78.7447,Analog Store,35.872639,-78.71441999999999,Music Venue
8,27617,35.9034,-78.7447,SnareBuzz Studio,35.926919,-78.704966,Music Venue
9,27617,35.9034,-78.7447,BETDEEZ,35.87107,-78.715818,Jazz Club
10,27636,35.7977,-78.6253,Lincoln Theatre,35.773862362268666,-78.637472206323,Music Venue
11,27636,35.7977,-78.6253,Kings,35.776929348869245,-78.6397994738686,Music Venue
12,27636,35.7977,-78.6253,The Pour House Music Hall,35.777169134300486,-78.63681234972837,Music Venue
13,27636,35.7977,-78.6253,Red Hat Amphitheater,35.77370728783636,-78.64256537435926,Music Venue
14,27636,35.7977,-78.6253,The Architect Bar & Social House,35.778108610242164,-78.63791356282759,Bar
15,27636,35.7977,-78.6253,Amplified Art,35.776144727709024,-78.63578867137181,Music Venue
16,27636,35.7977,-78.6253,Midtown Park at North Hills,35.836381128154414,-78.63665089355293,Music Venue
17,27636,35.7977,-78.6253,World of Beer,35.836902001511895,-78.6395299473235,Music Venue
18,27636,35.7977,-78.6253,Meymandi Concert Hall,35.77096719767873,-78.63999107498213,Concert Hall
19,27636,35.7977,-78.6253,The Ritz,35.81618324368854,-78.62046054243106,Music Venue
20,27636,35.7977,-78.6253,Slim's Downtown Distillery,35.77731781812501,-78.63824742174637,Rock Club
21,27636,35.7977,-78.6253,Fayetteville Street,35.7795897,-78.6381787,Music Venue
22,27636,35.7977,-78.6253,Edenton St. Live Fine Arts Series,35.781766,-78.6426,Music Venue
23,27636,35.7977,-78.6253,PLUS Dueling Piano Bar,35.787132,-78.6467443,Music Venue
24,27636,35.7977,-78.6253,Long View Center - Event Space,35.77840073955551,-78.6351869962506,Event Space
25,27636,35.7977,-78.6253,Band Together,35.77385330200195,-78.63741302490234,Music Venue
26,27636,35.7977,-78.6253,Helping Hand Mission,35.771677000000004,-78.620416,Music Venue
27,27636,35.7977,-78.6253,Tin Roof,35.78427,-78.6471093,Music Venue
28,27636,35.7977,-78.6253,In The Groove Records,35.78136157737645,-78.6474839747541,Music Venue
29,27636,35.7977,-78.6253,The Wicked Witch,35.772546999999996,-78.646124,Music Venue
30,27636,35.7977,-78.6253,Midtown Park,35.83636398429817,-78.63706164797998,Music Venue
31,27636,35.7977,-78.6253,North Hills Beach Music,35.83682059419752,-78.64273006547685,Music Venue
32,27636,35.7977,-78.6253,Pack House Pub,35.788019412546575,-78.66913579387129,Bar
33,27636,35.7977,-78.6253,Voice Lessons,35.83021622514902,-78.65567258043687,Music Venue
34,27636,35.7977,-78.6253,The Ruby Red,35.78973809855687,-78.64456195545674,Rock Club
35,27690,35.7977,-78.6253,Lincoln Theatre,35.773862362268666,-78.637472206323,Music Venue
36,27690,35.7977,-78.6253,Kings,35.776929348869245,-78.6397994738686,Music Venue
37,27690,35.7977,-78.6253,The Pour House Music Hall,35.777169134300486,-78.63681234972837,Music Venue
38,27690,35.7977,-78.6253,Red Hat Amphitheater,35.77370728783636,-78.64256537435926,Music Venue
39,27690,35.7977,-78.6253,The Architect Bar & Social House,35.778108610242164,-78.63791356282759,Bar
40,27690,35.7977,-78.6253,Amplified Art,35.776144727709024,-78.63578867137181,Music Venue
41,27690,35.7977,-78.6253,Midtown Park at North Hills,35.836381128154414,-78.63665089355293,Music Venue
42,27690,35.7977,-78.6253,World of Beer,35.836902001511895,-78.6395299473235,Music Venue
43,27690,35.7977,-78.6253,Meymandi Concert Hall,35.77096719767873,-78.63999107498213,Concert Hall
44,27690,35.7977,-78.6253,The Ritz,35.81618324368854,-78.62046054243106,Music Venue
45,27690,35.7977,-78.6253,Slim's Downtown Distillery,35.77731781812501,-78.63824742174637,Rock Club
46,27690,35.7977,-78.6253,Fayetteville Street,35.7795897,-78.6381787,Music Venue
47,27690,35.7977,-78.6253,Edenton St. Live Fine Arts Series,35.781766,-78.6426,Music Venue
48,27690,35.7977,-78.6253,PLUS Dueling Piano Bar,35.787132,-78.6467443,Music Venue
49,27690,35.7977,-78.6253,Long View Center - Event Space,35.77840073955551,-78.6351869962506,Event Space
50,27690,35.7977,-78.6253,Band Together,35.77385330200195,-78.63741302490234,Music Venue
51,27690,35.7977,-78.6253,Helping Hand Mission,35.771677000000004,-78.620416,Music Venue
52,27690,35.7977,-78.6253,Tin Roof,35.78427,-78.6471093,Music Venue
53,27690,35.7977,-78.6253,In The Groove Records,35.78136157737645,-78.6474839747541,Music Venue
54,27690,35.7977,-78.6253,The Wicked Witch,35.772546999999996,-78.646124,Music Venue
55,27690,35.7977,-78.6253,Midtown Park,35.83636398429817,-78.63706164797998,Music Venue
56,27690,35.7977,-78.6253,North Hills Beach Music,35.83682059419752,-78.64273006547685,Music Venue
57,27690,35.7977,-78.6253,Pack House Pub,35.788019412546575,-78.66913579387129,Bar
58,27690,35.7977,-78.6253,Voice Lessons,35.83021622514902,-78.65567258043687,Music Venue
59,27690,35.7977,-78.6253,The Ruby Red,35.78973809855687,-78.64456195545674,Rock Club
60,27699,35.7977,-78.6253,Lincoln Theatre,35.773862362268666,-78.637472206323,Music Venue
61,27699,35.7977,-78.6253,Kings,35.776929348869245,-78.6397994738686,Music Venue
62,27699,35.7977,-78.6253,The Pour House Music Hall,35.777169134300486,-78.63681234972837,Music Venue
63,27699,35.7977,-78.6253,Red Hat Amphitheater,35.77370728783636,-78.64256537435926,Music Venue
64,27699,35.7977,-78.6253,The Architect Bar & Social House,35.778108610242164,-78.63791356282759,Bar
65,27699,35.7977,-78.6253,Amplified Art,35.776144727709024,-78.63578867137181,Music Venue
66,27699,35.7977,-78.6253,Midtown Park at North Hills,35.836381128154414,-78.63665089355293,Music Venue
67,27699,35.7977,-78.6253,World of Beer,35.836902001511895,-78.6395299473235,Music Venue
68,27699,35.7977,-78.6253,Meymandi Concert Hall,35.77096719767873,-78.63999107498213,Concert Hall
69,27699,35.7977,-78.6253,The Ritz,35.81618324368854,-78.62046054243106,Music Venue
70,27699,35.7977,-78.6253,Slim's Downtown Distillery,35.77731781812501,-78.63824742174637,Rock Club
71,27699,35.7977,-78.6253,Fayetteville Street,35.7795897,-78.6381787,Music Venue
72,27699,35.7977,-78.6253,Edenton St. Live Fine Arts Series,35.781766,-78.6426,Music Venue
73,27699,35.7977,-78.6253,PLUS Dueling Piano Bar,35.787132,-78.6467443,Music Venue
74,27699,35.7977,-78.6253,Long View Center - Event Space,35.77840073955551,-78.6351869962506,Event Space
75,27699,35.7977,-78.6253,Band Together,35.77385330200195,-78.63741302490234,Music Venue
76,27699,35.7977,-78.6253,Helping Hand Mission,35.771677000000004,-78.620416,Music Venue
77,27699,35.7977,-78.6253,Tin Roof,35.78427,-78.6471093,Music Venue
78,27699,35.7977,-78.6253,In The Groove Records,35.78136157737645,-78.6474839747541,Music Venue
79,27699,35.7977,-78.6253,The Wicked Witch,35.772546999999996,-78.646124,Music Venue
80,27699,35.7977,-78.6253,Midtown Park,35.83636398429817,-78.63706164797998,Music Venue
81,27699,35.7977,-78.6253,North Hills Beach Music,35.83682059419752,-78.64273006547685,Music Venue
82,27699,35.7977,-78.6253,Pack House Pub,35.788019412546575,-78.66913579387129,Bar
83,27699,35.7977,-78.6253,Voice Lessons,35.83021622514902,-78.65567258043687,Music Venue
84,27699,35.7977,-78.6253,The Ruby Red,35.78973809855687,-78.64456195545674,Rock Club
85,27519,35.8072,-78.887,The Piano Man,35.8006207,-78.87230850000003,Music Venue
86,27519,35.8072,-78.887,Championship Vinyl,35.81574257473694,-78.90822887420654,Music Venue
87,27519,35.8072,-78.887,Triangle Area DJ Services,35.81386184692383,-78.83423614501953,Music Venue
