,Zip,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,27704,36.0383,-78.8764,Fullsteam Brewery,36.003165769705895,-78.89977292030684,Brewery
1,27704,36.0383,-78.8764,Durham Distillery,36.004452,-78.902913,Brewery
2,27704,36.0383,-78.8764,Durty Bull Brewing Co.,36.00135292828017,-78.89820706358697,Brewery
3,27704,36.0383,-78.8764,Geer Street Garden,36.003600815460814,-78.90105709189852,Gastropub
4,27704,36.0383,-78.8764,Motorco Music Hall,36.00359855775661,-78.90032530449736,Concert Hall
5,27710,36.0512,-78.8577,Two Johns Brewing Bottleworks,36.06090630876286,-78.90923969871864,Brewery
6,27711,36.0512,-78.8577,Two Johns Brewing Bottleworks,36.06090630876286,-78.90923969871864,Brewery
7,27529,35.6813,-78.5975,Minor Key Brewing,35.705906958721535,-78.60287547111511,Brewery
8,27615,35.8887,-78.6393,Lincoln Brewing Co.,35.8815394257144,-78.64697917480142,Beer Store
9,27615,35.8887,-78.6393,Thrill's Grill Pit,35.892231897797316,-78.63694133420056,Brewery
10,27615,35.8887,-78.6393,Sneaky Penguin Brewing company,35.884361267089844,-78.65599060058594,Brewery
11,27615,35.8887,-78.6393,Fiesta Brewing,35.889583587646484,-78.6213150024414,Brewery
12,27615,35.8887,-78.6393,Smooth Pour Brewing,35.86574936658005,-78.6472845145656,Brewery
13,27615,35.8887,-78.6393,shops of Lafayette Village,35.91530299466403,-78.61650194193825,Brewery
14,27615,35.8887,-78.6393,Next to Kent,35.89984,-78.681892,Brewery
15,27615,35.8887,-78.6393,Purple Jeep,35.92682,-78.64721,Brewery
16,27617,35.9034,-78.7447,Lonerider Brewing Company,35.903490104017955,-78.76281942410905,Brewery
17,27617,35.9034,-78.7447,Gizmo Brew Works,35.89647187391954,-78.7442774365357,Brewery
18,27617,35.9034,-78.7447,Lynnwood Grill,35.87060397660752,-78.71742006953166,Brewery
19,27617,35.9034,-78.7447,TràLi Irish Pub & Restaurant,35.90037026485244,-78.79211708353618,Irish Pub
20,27636,35.7977,-78.6253,Lynnwood Brewing Concern,35.808067569517604,-78.62192694855835,Brewery
21,27636,35.7977,-78.6253,Little City Brewing + Provisions Co.,35.78494319971896,-78.64505569245523,Brewery
22,27636,35.7977,-78.6253,Big Boss Brewing Company,35.80973604026636,-78.61719227546037,Brewery
23,27636,35.7977,-78.6253,Burial Beer Co.,35.77524083034889,-78.63224699616292,Brewery
24,27636,35.7977,-78.6253,Brewery Bhavana,35.777424987669576,-78.636864724695,Brewery
25,27636,35.7977,-78.6253,Nickelpoint Brewing,35.80450237884223,-78.63352663436109,Brewery
26,27636,35.7977,-78.6253,Clouds Brewing,35.78254621781403,-78.64569516179961,Brewery
27,27636,35.7977,-78.6253,Neuse River Brewing Company,35.80407876080265,-78.63268288537627,Brewery
28,27636,35.7977,-78.6253,Trophy Brewing & Pizza,35.779777579878534,-78.65346305620984,Brewery
29,27636,35.7977,-78.6253,Crank Arm Brewing Company,35.775585,-78.64385,Brewery
30,27636,35.7977,-78.6253,Sub Noir Brewing Co.,35.80899399291014,-78.62306702863765,Brewery
31,27636,35.7977,-78.6253,Tobacco Road Sports Cafe & Brewery,35.78269766221425,-78.64663279807048,Brewery
32,27636,35.7977,-78.6253,Wye Hill Kitchen & Brewing,35.778454,-78.64902,Brewery
33,27636,35.7977,-78.6253,Horniblow's Tavern,35.80978254477108,-78.61713920733759,Bar
34,27636,35.7977,-78.6253,The Pit Authentic Barbecue,35.775967399261056,-78.64472309605672,BBQ Joint
35,27636,35.7977,-78.6253,Standard Beer and Food,35.790595460901734,-78.63504588603973,Brewery
36,27636,35.7977,-78.6253,Mordecai Beverage Company,35.805837332615475,-78.6143768924012,Brewery
37,27636,35.7977,-78.6253,Funguys Brewing,35.8135711,-78.6248071,Brewery
38,27636,35.7977,-78.6253,Clouds Brewery and Taproom,35.821598,-78.614104,Brewery
39,27636,35.7977,-78.6253,Catering Works,35.811657000000004,-78.61559,Restaurant
40,27690,35.7977,-78.6253,Lynnwood Brewing Concern,35.808067569517604,-78.62192694855835,Brewery
41,27690,35.7977,-78.6253,Little City Brewing + Provisions Co.,35.78494319971896,-78.64505569245523,Brewery
42,27690,35.7977,-78.6253,Big Boss Brewing Company,35.80973604026636,-78.61719227546037,Brewery
43,27690,35.7977,-78.6253,Burial Beer Co.,35.77524083034889,-78.63224699616292,Brewery
44,27690,35.7977,-78.6253,Brewery Bhavana,35.777424987669576,-78.636864724695,Brewery
45,27690,35.7977,-78.6253,Nickelpoint Brewing,35.80450237884223,-78.63352663436109,Brewery
